source_id,ra,dec,phot_g_mean_mag,parallax,bp_rp,designation,j_m,h_m,ks_m,ph_qual,ang_sep
604713738666938240,133.23288645022578,11.70333667580074,13.619781,0.8572694264113677,0.704649,08525590+1142121,12.719,12.467,12.437,AAA,0.4108694903053045
598900139654610432,132.5790415407393,11.465674131597497,13.640699,1.272132023017775,0.75603867,08501897+1127564,12.698,12.422,12.345,AAA,0.41207949176600034
598884746491793024,132.85114939975372,11.388125297348465,13.011026,1.1537852378067346,0.7392645,08512428+1123173,12.052,11.805,11.746,AAA,0.41267049718674037
604989578646987520,132.63908043361386,12.170961736457388,13.091199,1.6947495590391308,0.74218464,08503338+1210157,12.162,11.897,11.837,AAA,0.4131439529021429
604950133667243520,133.09994409287407,12.114531004068027,13.618591,1.3800058190616915,0.8791647,08522398+1206524,12.511,12.157,12.088,AAA,0.4138586180422156
604946835132357120,133.14221181714262,12.074767164470487,13.109818,1.1248375260764827,0.7485132,08523413+1204292,12.162,11.906,11.846,AAA,0.4145057990497105
598905667277186304,132.45823580354235,11.590414578905767,10.399834,2.2979769746454566,0.654974,08494999+1135258,9.557,9.374,9.264,AAA,0.415830077799762
604999096294439936,132.92480675153388,12.205267870474236,12.858583,2.2068638371055744,0.8891363,08514194+1212193,11.773,11.456,11.337,AAA,0.41686040754632386
604989677430427776,132.67852104914988,12.193616070246529,12.007843,0.8368103283905971,1.2186394,08504284+1211372,10.456,9.955,9.828,AAA,0.41888256091553455
604702911059189504,133.06353962032674,11.450283823236802,12.31929,2.086039485504425,0.83361816,08521524+1127012,11.23,10.916,10.848,AAA,0.42058514968277577
604966076586017024,132.40352607470527,11.889505089429166,11.001099,0.7822257211680165,1.297349,08493684+1153221,9.367,8.821,8.689,AAA,0.42209837411668816
604703052788343296,133.08341951956004,11.460060090955055,12.240408,1.1764006095470585,1.1248617,08522003+1127362,10.839,10.383,10.253,AAA,0.4238226882314144
598697142320464384,132.8908331098342,11.380828708219632,12.609519,1.1740150483126517,0.7245474,08513381+1122511,11.702,11.44,11.365,AAA,0.42410329068440783
604998404803662080,133.00561220254997,12.186138688368146,13.519313,1.1354807688578596,0.7500515,08520136+1211101,12.576,12.326,12.224,AAA,0.4246353928392654
604965664269158656,132.3943557115092,11.857126084403252,9.094762,1.1511949907027392,1.483386,08493465+1151256,7.203,6.546,6.394,AAA,0.42535318403307154
604701128643010816,132.98140766692794,11.402848515506244,13.139835,1.1546228221033752,0.7331486,08515555+1124102,12.19,11.995,11.879,AAA,0.42567969565174785
598904434621914496,132.46905751317462,11.551591960248452,12.129229,5.999810075232173,1.1080437,08495254+1133065,10.725,10.269,10.18,AAA,0.42803337646977196
605002257390381312,132.86421873217213,12.228784765368987,11.788089,1.643709786128188,0.6863489,08512742+1213432,10.925,10.684,10.597,AAA,0.43049719008663223
604713463788946560,133.2484562564359,11.678151350650824,12.453174,1.1351720682894442,0.76896,08525964+1140414,11.488,11.196,11.151,AAA,0.4321338000133688
598884334174935296,132.83279493282666,11.367933312612767,9.96569,2.9998805498955434,1.1147232,08511984+1122051,8.514,8.054,7.982,AAA,0.43213416088327344
598904434621915648,132.46745032689606,11.546701590991397,13.626239,0.9162695121955877,0.76338196,08495218+1132483,12.63,12.361,12.313,AAA,0.4321666387792474
604949888853089664,133.13624099159514,12.106948114172301,12.519697,1.1697270637570327,0.7566509,08523270+1206250,11.561,11.307,11.265,AAA,0.43235669036158086
604713459494948352,133.25122970031487,11.684762054189912,12.498801,1.4098075762564377,0.7079878,08530030+1141051,11.493,11.28,11.268,DAD,0.43292857496615683
598959100965548416,132.38579114165785,11.748407986752591,11.318048,2.2385642813967634,1.0247583,08493261+1144551,9.985,9.547,9.443,AAA,0.4330517755324208
604713463788946176,133.25253582825115,11.683393830326251,10.292144,1.4080653985481375,1.3242235,08530060+1141001,8.624,8.035,7.917,AAA,0.4345275305600967
604981778986430848,132.4707556870702,12.066908384129869,13.879861,7.273617881198837,2.0428772,08495304+1203599,11.599,11.003,10.76,AAA,0.43745106482132723
604703495169898112,133.1335544880003,11.48216774956834,12.622208,2.8100786570114935,0.8920584,08523205+1128565,11.469,11.096,11.033,AAA,0.43857337457136275
598899791761930368,132.54406000010886,11.457130510336425,11.852529,1.8455163423358794,0.57238674,08501057+1127257,11.097,10.989,10.916,AAA,0.43963595857191107
598952911917441664,132.41103006323635,11.618458897241451,13.186102,1.1872158647678066,0.8526087,08493865+1137066,12.072,11.706,11.636,AAA,0.444150749189305
605013321226163712,132.73376576802627,12.236311493242487,12.874667,2.6383760293087772,0.8304806,08505610+1214106,11.719,11.381,11.345,AAA,0.4453430999519254
604700849470046976,133.00632579631824,11.389579886328747,12.94739,2.765952747111809,0.9258995,08520152+1123226,11.786,11.425,11.381,AAA,0.4472084103284405
604925875692160640,133.28213908959654,11.803575143883874,13.524063,1.1743568146344643,0.7305336,08530772+1148129,12.611,12.366,12.284,AAA,0.44748986213215175
605003185103316352,132.8547171380894,12.247118229980835,13.3435,2.8818966882962003,1.2312546,08512515+1214495,11.747,11.229,11.102,AAA,0.4480619296633044
604981607187745792,132.4381456715036,12.04085004079514,13.389088,1.1297047483040137,0.71811676,08494517+1202271,12.444,12.18,12.156,AAA,0.44864216827030895
604988582214601600,132.5512536159037,12.16065128738545,12.4769125,2.3028203864355494,0.86307716,08501231+1209385,11.379,11.04,11.007,AAA,0.4491962731087813
605004078456479360,133.06781874051077,12.187027035714454,12.603675,3.6459090514026866,1.0617313,08521627+1211138,11.271,10.776,10.703,AAA,0.4540975816025434
604925974475194496,133.28871350582554,11.82034525861059,13.619121,1.721592679491187,0.85701275,08530930+1149135,12.504,12.21,12.175,AAA,0.4543528746536021
598900788194342528,132.49664458015798,11.478195951185253,13.05644,1.0659845025103598,0.74163437,08495920+1128416,12.106,11.869,11.79,AAA,0.4549576638173087
604978617890520064,132.38196709556294,11.95544557409199,13.670569,1.083396491583073,0.8887739,08493168+1157195,12.548,12.207,12.132,AAA,0.4605717103285768
598887594054812288,132.57755317060142,11.407827304973624,8.447178,1.8642634783410874,1.2570438,08501862+1124283,6.8,6.263,6.129,AAA,0.46103337974697345
604999371172329856,132.99742560676222,12.230743611941872,13.88075,1.207512707657743,0.835248,08515939+1213509,12.821,12.537,12.443,AAA,0.46258196840131754
598887868932718976,132.56142107133317,11.41561239223111,13.453484,0.823570433350518,0.8293934,08501473+1124563,12.395,12.09,12.022,AAA,0.46304932619589395
598696352046226560,132.88767435828663,11.338411857813488,11.551833,0.5334004190591883,1.1530886,08513303+1120184,10.041,9.557,9.461,AAA,0.4656540288970084
598959032246073216,132.35375633346118,11.734898775706464,11.784922,1.2256855861421474,1.1588373,08492491+1144057,10.296,9.831,9.708,AAA,0.4659103355524141
604978102494447744,132.36203895899553,11.911604139282009,12.678184,1.3668393420388716,1.169589,08492689+1154417,11.155,10.654,10.538,AAA,0.4666277114942111
604712669219395328,133.2831179459193,11.665542902846843,12.085474,0.8105054727322585,1.1602726,08530795+1139559,10.591,10.132,10.002,AAA,0.46826528290505276
605013767903055616,132.72636286003353,12.259465576886152,13.485824,1.0998206019645695,0.7329273,08505433+1215341,12.566,12.287,12.236,AAA,0.4694839917886112
604706385682950144,133.1810050984363,11.482937470546966,12.409035,3.363416056347062,0.9393892,08524345+1128585,11.204,10.847,10.763,AAA,0.4712826499806748
605004387694123136,133.05859253999216,12.212282681852493,13.580754,1.116752239617244,0.7415848,08521407+1212442,12.636,12.385,12.301,AAA,0.47136093339143276
604951301898543104,133.2439557991422,12.039296833006993,13.950937,1.157800068203947,0.8757591,08525856+1202215,12.829,12.535,12.393,AAA,0.47465672843252876
604929036788082816,133.3022320272234,11.901627661466815,13.891986,2.1326627367395097,0.999979,08531254+1154057,12.667,12.259,12.166,AAA,0.4779887359893072
604957280492814848,133.09392603514564,12.199856075167173,12.711071,1.6194024697442395,0.73703,08522255+1211596,11.809,11.51,11.474,AAA,0.4786225622754586
604955901807302784,133.16763113107297,12.143455430707686,11.2309065,1.5703961860049216,1.2240438,08524022+1208366,9.69,9.248,9.072,AAA,0.47990223116269914
605003631779902080,132.8905124681873,12.276016021374911,13.867579,0.8177648960663202,0.77850914,08513372+1216336,12.882,12.615,12.502,AAA,0.4803086748013756
598886735063684480,132.58939005921115,11.374038018835146,12.008596,0.4753808495158929,1.1321716,08502145+1122265,10.561,10.043,9.957,AAA,0.4844748134615259
604708786569604480,133.2696351736048,11.584809114388742,13.3048115,1.0890544373994278,0.62727356,08530471+1135054,12.519,12.285,12.262,AAA,0.48568271166819477
598898387307969024,132.4267214815531,11.50874349480472,11.205496,1.8295574534992538,0.69620514,08494241+1130316,10.331,10.104,10.058,AAA,0.4868086833808405
604712158118974080,133.2840537867722,11.612214220121187,13.350185,1.8625455389656487,0.81017303,08530818+1136440,12.317,12.035,11.985,AAA,0.48715388471313426
598695694916018816,132.913386328557,11.31984853572705,13.846713,0.80281595895363,0.6359329,08513921+1119114,13.016,12.748,12.7,AAA,0.48789733366173815
598893954901717248,132.50156902596976,11.427935504638432,12.602173,1.1944561482737803,0.722415,08500038+1125407,11.637,11.432,11.384,AAA,0.488671254300621
598694939001774976,132.80129811118806,11.310754193936814,13.909688,1.1511070382346564,0.77478313,08511232+1118387,12.965,12.657,12.568,AAA,0.489796582864507
604708790864617344,133.27223150913105,11.579903662294974,12.487086,1.1824348074745221,0.7848873,08530535+1134477,11.502,11.226,11.174,AAA,0.4901498173911131
605014317658598656,132.63471980640932,12.254791937312481,13.895888,1.4966387937015626,0.80259037,08503233+1215175,12.858,12.545,12.473,AAA,0.49139585959686277
604984871362889728,132.4147573397475,12.085188077968729,13.788257,2.8576596479562966,1.1694746,08493956+1205067,12.334,11.85,11.773,AAA,0.4923659165615893
604928383953053568,133.32531723831715,11.870457714055206,13.45527,0.2386392840595752,1.2045965,08531807+1152136,11.919,11.375,11.289,AAA,0.4947240606881246
598882547468555392,132.75427142751715,11.309813369962553,12.636223,0.39862390370235423,1.2648706,08510103+1118354,11.012,10.507,10.314,AAA,0.4950603139136947
598898073775010816,132.43408966243018,11.485939979496885,13.359071,1.1688814167273887,0.7257252,08494419+1129094,12.431,12.158,12.136,AAA,0.49519735973622014
604706351323205632,133.22615423354057,11.496712427867587,12.589812,0.42632815345579106,1.2034969,08525428+1129482,11.046,10.457,10.384,AAA,0.4963340285170767
604712364277317760,133.30699655984208,11.643170418539922,13.0958,1.871557053704074,0.8556175,08531368+1138354,12.023,11.668,11.634,AAA,0.49732036908844207
605002944585123968,132.94073352381454,12.284794709962112,11.045901,0.7176318700084365,1.1786642,08514577+1217052,9.548,9.056,8.902,AAA,0.49783233869140936
598960058742607744,132.31637901521947,11.768190961420173,12.3931465,1.1559292718041014,0.8279314,08491593+1146055,11.331,11.04,10.988,AAA,0.49891631788607704
598880515948711424,132.62146172645674,11.340784869864208,13.715788,0.6059925745066843,0.5809803,08502915+1120268,12.974,12.785,12.759,AAA,0.5006391143857064
598880863841395456,132.58274281666792,11.358474534099894,9.22126,3.051698816084345,0.3861456,08501989+1121305,8.715,8.607,8.566,AAA,0.5012668143807395
605014833054650880,132.70634280220605,12.287672697514626,11.472471,4.912473758223647,1.1227703,08504952+1217158,9.97,9.501,9.37,AAA,0.5012894266398331
604938447060218112,133.29893912822533,11.991947023428624,12.620319,1.141125443305171,0.723979,08531175+1159310,11.7,11.491,11.373,AAA,0.5019135769563766
605015309794935552,132.83369483278867,12.302883758277034,8.858565,1.172402697847742,1.6367264,08512010+1218104,6.809,6.116,5.933,AAA,0.5029556424559757
604708619065925376,133.28104685612217,11.566099657819892,13.671642,3.4004244670970554,1.2761393,08530745+1133583,12.121,11.556,11.482,AAA,0.5041423645808334
605014485161527808,132.66959168169387,12.283271249147944,12.244244,0.7353285106112064,1.0125532,08504073+1217001,10.908,10.463,10.395,AAA,0.5066078613996405
604698001906811136,133.0869250988512,11.363148144990319,11.053327,0.740460336335889,1.1519308,08522086+1121472,9.564,9.1,8.972,AAA,0.5066347516696282
598899211941691648,132.38671463872672,11.53054825824739,11.244417,5.312092794969488,0.8536444,08493284+1131501,10.144,9.805,9.725,AAA,0.5067984100777571
